"firstName","familyName","fullName","persoon"
"Sven","Gatz","Sven Gatz","http://example.com/person/9deaa1db-9cb8-4125-97e6-b4641fba803f"
"Phillipe","Muyters","Phillipe Muyters","http://example.com/person/70d5ccab-0b57-4495-892d-3ca12029aff1"
"Koen","Van den Heuvel","Koen Van den Heuvel","http://example.com/person/69b9715c-05f4-4ea6-b00f-bfb1da587ca2"
"Ben","Weyts","Ben Weyts","http://example.com/person/8ac8eb8e-9916-44dd-9349-a976faf74766"
"Liesbeth","Homans","Liesbeth Homans","http://example.com/person/e880971e-1fd8-41a0-9cdc-d195d18fe581"
"Geert","Bourgeois","Geert Bourgeois","http://example.com/person/de843e19-de4a-4b0d-af5f-d5563709d23c"
"Jo","Vandeurzen","Jo Vandeurzen","http://example.com/person/ecb86a73-c11c-4228-bf36-976d83ed5c0d"
"Lydia","Peeters","Lydia Peeters","http://example.com/person/ff3596bb-e814-4a46-83f3-2c03a7cd4e8c"
"Hilde","Crevits","Hilde Crevits","http://example.com/person/c2a7e1d0-40ba-47bf-b6be-0e4ab3725161"
"Leona","Detiège","Leona Detiège","http://kanselarij.vo.data.gift/id/personen/8203a46c-dec2-11e9-aa72-0242c0a80002"
"Norbert","De Batselier","Norbert De Batselier","http://kanselarij.vo.data.gift/id/personen/8202a62a-dec2-11e9-aa72-0242c0a80002"
"Theo","Kelchtermans","Theo Kelchtermans","http://kanselarij.vo.data.gift/id/personen/81fbedc6-dec2-11e9-aa72-0242c0a80002"
"Liesbeth","Homans","Liesbeth Homans","http://kanselarij.vo.data.gift/id/personen/819eb9c6-dec2-11e9-aa72-0242c0a80002"
"Hilde","Crevits","Hilde Crevits","http://kanselarij.vo.data.gift/id/personen/819eb368-dec2-11e9-aa72-0242c0a80002"
"Joke","Schauvliege","Joke Schauvliege","http://kanselarij.vo.data.gift/id/personen/81a32e66-dec2-11e9-aa72-0242c0a80002"
"Lydia","Peeters","Lydia Peeters","http://kanselarij.vo.data.gift/id/personen/819ef756-dec2-11e9-aa72-0242c0a80002"
"Jo","Vandeurzen","Jo Vandeurzen","http://kanselarij.vo.data.gift/id/personen/819ebc82-dec2-11e9-aa72-0242c0a80002"
"Steven","Vanackere","Steven Vanackere","http://kanselarij.vo.data.gift/id/personen/81dea82e-dec2-11e9-aa72-0242c0a80002"
"Koen","Van Den Heuvel","Koen Van Den Heuvel","http://kanselarij.vo.data.gift/id/personen/819efcb0-dec2-11e9-aa72-0242c0a80002"
"Ben","Weyts","Ben Weyts","http://kanselarij.vo.data.gift/id/personen/819efa76-dec2-11e9-aa72-0242c0a80002"
"Freya","Van Den Bossche","Freya Van Den Bossche","http://kanselarij.vo.data.gift/id/personen/81c3cea0-dec2-11e9-aa72-0242c0a80002"
"Dirk","Van Mechelen","Dirk Van Mechelen","http://kanselarij.vo.data.gift/id/personen/81ddb23e-dec2-11e9-aa72-0242c0a80002"
"Philippe","Muyters","Philippe Muyters","http://kanselarij.vo.data.gift/id/personen/819eb5ca-dec2-11e9-aa72-0242c0a80002"
"Sven","Gatz","Sven Gatz","http://kanselarij.vo.data.gift/id/personen/819efec2-dec2-11e9-aa72-0242c0a80002"
"Kris","Peeters","Kris Peeters","http://kanselarij.vo.data.gift/id/personen/81c39f20-dec2-11e9-aa72-0242c0a80002"
"Annemie","Turtelboom","Annemie Turtelboom","http://kanselarij.vo.data.gift/id/personen/81b92c2a-dec2-11e9-aa72-0242c0a80002"
"Patricia","Ceysens","Patricia Ceysens","http://kanselarij.vo.data.gift/id/personen/81dd2666-dec2-11e9-aa72-0242c0a80002"
"Pascal","Smet","Pascal Smet","http://kanselarij.vo.data.gift/id/personen/81c3bb2c-dec2-11e9-aa72-0242c0a80002"
"Geert","Bourgeois","Geert Bourgeois","http://kanselarij.vo.data.gift/id/personen/819f36e4-dec2-11e9-aa72-0242c0a80002"
"Vera","Dua","Vera Dua","http://kanselarij.vo.data.gift/id/personen/81f140ec-dec2-11e9-aa72-0242c0a80002"
"Ingrid","Lieten","Ingrid Lieten","http://kanselarij.vo.data.gift/id/personen/81c3a510-dec2-11e9-aa72-0242c0a80002"
,"Lenssens","Lenssens","http://kanselarij.vo.data.gift/id/personen/820f017c-dec2-11e9-aa72-0242c0a80002"
,"Vogels","Vogels","http://kanselarij.vo.data.gift/id/personen/81f5711c-dec2-11e9-aa72-0242c0a80002"
,"De Batselier","De Batselier","http://kanselarij.vo.data.gift/id/personen/8205fcbc-dec2-11e9-aa72-0242c0a80002"
,"Demeester-De Meyer","Demeester-De Meyer","http://kanselarij.vo.data.gift/id/personen/82047964-dec2-11e9-aa72-0242c0a80002"
,"Kelchtermans","Kelchtermans","http://kanselarij.vo.data.gift/id/personen/81fc8736-dec2-11e9-aa72-0242c0a80002"
,"Llenssens","Llenssens","http://kanselarij.vo.data.gift/id/personen/8219db2e-dec2-11e9-aa72-0242c0a80002"
,"Waltniel","Waltniel","http://kanselarij.vo.data.gift/id/personen/820ef4a2-dec2-11e9-aa72-0242c0a80002"
,"Ggeens","Ggeens","http://kanselarij.vo.data.gift/id/personen/821dd634-dec2-11e9-aa72-0242c0a80002"
,"Poma","Poma","http://kanselarij.vo.data.gift/id/personen/8218748c-dec2-11e9-aa72-0242c0a80002"
,"Beysen","Beysen","http://kanselarij.vo.data.gift/id/personen/8214aadc-dec2-11e9-aa72-0242c0a80002"
,"Van den Bossche","Van den Bossche","http://kanselarij.vo.data.gift/id/personen/81febbbe-dec2-11e9-aa72-0242c0a80002"
,"Tavernier","Tavernier","http://kanselarij.vo.data.gift/id/personen/81ee7d4e-dec2-11e9-aa72-0242c0a80002"
,"Ceysens","Ceysens","http://kanselarij.vo.data.gift/id/personen/81e23a70-dec2-11e9-aa72-0242c0a80002"
,"Keulen","Keulen","http://kanselarij.vo.data.gift/id/personen/81e200fa-dec2-11e9-aa72-0242c0a80002"
,"Akkermans","Akkermans","http://kanselarij.vo.data.gift/id/personen/821662a0-dec2-11e9-aa72-0242c0a80002"
,"Potoms","Potoms","http://kanselarij.vo.data.gift/id/personen/8217c1e0-dec2-11e9-aa72-0242c0a80002"
,"Bourgeois","Bourgeois","http://kanselarij.vo.data.gift/id/personen/81e1e3d6-dec2-11e9-aa72-0242c0a80002"
,"Van den Brande","Van den Brande","http://kanselarij.vo.data.gift/id/personen/81fceda2-dec2-11e9-aa72-0242c0a80002"
,"Vervotte","Vervotte","http://kanselarij.vo.data.gift/id/personen/81e59486-dec2-11e9-aa72-0242c0a80002"
,"De Croo","De Croo","http://kanselarij.vo.data.gift/id/personen/8216699e-dec2-11e9-aa72-0242c0a80002"
,"Anciaux","Anciaux","http://kanselarij.vo.data.gift/id/personen/81e1c7a2-dec2-11e9-aa72-0242c0a80002"
,"Pede","Pede","http://kanselarij.vo.data.gift/id/personen/8215ebd6-dec2-11e9-aa72-0242c0a80002"
,"Demeester - De Meyer","Demeester - De Meyer","http://kanselarij.vo.data.gift/id/personen/8205da48-dec2-11e9-aa72-0242c0a80002"
"- Wivina","Demeester De Meyer","- Wivina Demeester De Meyer","http://kanselarij.vo.data.gift/id/personen/81fbf2d0-dec2-11e9-aa72-0242c0a80002"
"Marino","Keulen","Marino Keulen","http://kanselarij.vo.data.gift/id/personen/81ddb450-dec2-11e9-aa72-0242c0a80002"
"Luc","Van Den Brande","Luc Van Den Brande","http://kanselarij.vo.data.gift/id/personen/81fbddb8-dec2-11e9-aa72-0242c0a80002"
"Guido","Van Gheluwe","Guido Van Gheluwe","http://kanselarij.vo.data.gift/id/personen/821dc95a-dec2-11e9-aa72-0242c0a80002"
"Luc","Van Den Bossche","Luc Van Den Bossche","http://kanselarij.vo.data.gift/id/personen/81ffa7ea-dec2-11e9-aa72-0242c0a80002"
"Yves","Leterme","Yves Leterme","http://kanselarij.vo.data.gift/id/personen/81e4b502-dec2-11e9-aa72-0242c0a80002"
"Coenen","O.","Coenen O.","http://kanselarij.vo.data.gift/id/personen/821d59d4-dec2-11e9-aa72-0242c0a80002"
"Kathleen","Van Brempt","Kathleen Van Brempt","http://kanselarij.vo.data.gift/id/personen/81ddc134-dec2-11e9-aa72-0242c0a80002"
"Frank","Vandenbroucke","Frank Vandenbroucke","http://kanselarij.vo.data.gift/id/personen/81ddbbbc-dec2-11e9-aa72-0242c0a80002"
"Gilbert","Bossuyt","Gilbert Bossuyt","http://kanselarij.vo.data.gift/id/personen/81ecd1c4-dec2-11e9-aa72-0242c0a80002"
"Patrick","Dewael","Patrick Dewael","http://kanselarij.vo.data.gift/id/personen/81f12d5a-dec2-11e9-aa72-0242c0a80002"
"Johan","Sauwens","Johan Sauwens","http://kanselarij.vo.data.gift/id/personen/81cd593e-dec2-11e9-aa72-0242c0a80002"
"Grootjans","F.","Grootjans F.","http://kanselarij.vo.data.gift/id/personen/8217539a-dec2-11e9-aa72-0242c0a80002"
"Fientje","Moerman","Fientje Moerman","http://kanselarij.vo.data.gift/id/personen/81e3c728-dec2-11e9-aa72-0242c0a80002"
,"Dewael","Dewael","http://kanselarij.vo.data.gift/id/personen/81f7595a-dec2-11e9-aa72-0242c0a80002"
,"Van Den Bossche","Van Den Bossche","http://kanselarij.vo.data.gift/id/personen/820d34b4-dec2-11e9-aa72-0242c0a80002"
,"Geens","Geens","http://kanselarij.vo.data.gift/id/personen/820ed3f0-dec2-11e9-aa72-0242c0a80002"
,"Steyaert","Steyaert","http://kanselarij.vo.data.gift/id/personen/8215de52-dec2-11e9-aa72-0242c0a80002"
,"Dupre","Dupre","http://kanselarij.vo.data.gift/id/personen/8214af0a-dec2-11e9-aa72-0242c0a80002"
,"Coens","Coens","http://kanselarij.vo.data.gift/id/personen/820efd9e-dec2-11e9-aa72-0242c0a80002"
,"De Saeger","De Saeger","http://kanselarij.vo.data.gift/id/personen/821ce0d0-dec2-11e9-aa72-0242c0a80002"
,"Akkkermans","Akkkermans","http://kanselarij.vo.data.gift/id/personen/8219974a-dec2-11e9-aa72-0242c0a80002"
,"Weckx","Weckx","http://kanselarij.vo.data.gift/id/personen/8205f672-dec2-11e9-aa72-0242c0a80002"
,"De Wulf","De Wulf","http://kanselarij.vo.data.gift/id/personen/820f2896-dec2-11e9-aa72-0242c0a80002"
,"Kelchertermans","Kelchertermans","http://kanselarij.vo.data.gift/id/personen/82132cf2-dec2-11e9-aa72-0242c0a80002"
,"Demeester","Demeester","http://kanselarij.vo.data.gift/id/personen/81fc90aa-dec2-11e9-aa72-0242c0a80002"
