"firstName","familyName","fullName","start","einde","title","rangorde","mandataris","persoon"
"Sven","Gatz","Sven Gatz",2019-07-17T22:00:00Z,2019-10-01T22:00:00Z,"Vlaams minister van Brusselse aangelegenheden",3,"http://example.com/mandaat/24733906-ca93-4eeb-9e1f-18b3592500dd","http://example.com/person/9deaa1db-9cb8-4125-97e6-b4641fba803f"
"Koen","Van den Heuvel","Koen Van den Heuvel",2017-02-14T12:41:13Z,2019-09-30T22:00:00Z,"Vlaams minister van Omgeving, Natuur en Landbouw",8,"http://example.com/mandaat/d4042972-6fee-4555-8c90-2c27270f42f8","http://example.com/person/69b9715c-05f4-4ea6-b00f-bfb1da587ca2"
"Geert","Bourgeois","Geert Bourgeois",2017-02-14T12:41:13Z,2019-09-01T22:00:00Z,"Minister-president van de Vlaamse Regering",1,"http://example.com/mandaat/9cd9a969-0e8c-4f07-bacd-bd0c0b4cfc9c","http://example.com/person/de843e19-de4a-4b0d-af5f-d5563709d23c"
"Jo","Vandeurzen","Jo Vandeurzen",2017-02-14T12:41:13Z,2019-09-30T22:00:00Z,"Vlaams minister van Welzijn, Volksgezondheid en Gezin",5,"http://example.com/mandaat/9a70b95c-a1ba-40db-907c-c5395dfac60f","http://example.com/person/ecb86a73-c11c-4228-bf36-976d83ed5c0d"
"Phillipe","Muyters","Phillipe Muyters",2017-02-14T12:41:13Z,2019-09-30T22:00:00Z,"Vlaams minister van Werk, Economie, Innovatie en Sport",6,"http://example.com/mandaat/dc811a22-ccab-4dba-b305-fa1ca2981a0c","http://example.com/person/70d5ccab-0b57-4495-892d-3ca12029aff1"
"Lydia","Peeters","Lydia Peeters",2019-07-17T22:00:00Z,2019-10-01T22:00:00Z,"Vlaams minister van Begroting, Financiën en Energie",7,"http://example.com/mandaat/90c9f6d0-34d4-427e-ad1e-298193ebeae6","http://example.com/person/ff3596bb-e814-4a46-83f3-2c03a7cd4e8c"
"Ben","Weyts","Ben Weyts",2019-07-01T22:00:00Z,2019-10-01T22:00:00Z,"Vlaams minister van Mobiliteit, Openbare Werken, Vlaamse Rand, Buitenlands Beleid, Onroerend Erfgoed en Dierenwelzijn",4,"http://example.com/mandaat/4be7d895-e5f1-4027-9032-c53e41f48d69","http://example.com/person/8ac8eb8e-9916-44dd-9349-a976faf74766"
"Hilde","Crevits","Hilde Crevits",2017-02-14T12:41:13Z,2019-09-30T22:00:00Z,"Vlaams minister van Onderwijs",2,"http://example.com/mandaat/6eb5292d-37a1-454f-b87e-3bbfacb23970","http://example.com/person/c2a7e1d0-40ba-47bf-b6be-0e4ab3725161"
"Liesbeth","Homans","Liesbeth Homans",2017-02-14T12:41:13Z,,"Vlaams minister van Binnenlands Bestuur, Inburgering, Wonen, Gelijke Kansen en Armoedebestrijding",4,"http://example.com/mandaat/d3b0f8f7-9806-45a9-9d04-c9676049ff0b","http://example.com/person/e880971e-1fd8-41a0-9cdc-d195d18fe581"
"Leona","Detiège","Leona Detiège",1992-10-20,1995-06-20,"GM van Sociale Zaken",,"http://kanselarij.vo.data.gift/id/mandatarissen/820ec928-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8203a46c-dec2-11e9-aa72-0242c0a80002"
"Norbert","De Batselier","Norbert De Batselier",1992-02-05,1992-10-20,"GM van Leefmilieu en Huisvesting",,"http://kanselarij.vo.data.gift/id/mandatarissen/820cef04-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8202a62a-dec2-11e9-aa72-0242c0a80002"
"Theo","Kelchtermans","Theo Kelchtermans",1995-06-20,1999-07-13,"VM van Leefmilieu en Tewerkstelling",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fbef10-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbedc6-dec2-11e9-aa72-0242c0a80002"
"Hilde","Crevits","Hilde Crevits",2009-07-13,2014-07-25,"VM  van Leefmilieu, Natuur en Cultuur",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dd1b4e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819eb368-dec2-11e9-aa72-0242c0a80002"
"Joke","Schauvliege","Joke Schauvliege",2009-07-13,2014-07-25,"VM  van Leefmilieu, Natuur en Cultuur",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dcd4cc-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81a32e66-dec2-11e9-aa72-0242c0a80002"
"Hilde","Crevits","Hilde Crevits",2014-05-25,2019-07-02,"VM van Onderwijs",,"http://kanselarij.vo.data.gift/id/mandatarissen/819f3a36-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819eb368-dec2-11e9-aa72-0242c0a80002"
"Liesbeth","Homans","Liesbeth Homans",2014-05-25,2019-07-02,"VM van Binnenlands Bestuur, Inburgering, Wonen, Gelijke Kansen en Armoedebestrijding",,"http://kanselarij.vo.data.gift/id/mandatarissen/819f3e0a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819eb9c6-dec2-11e9-aa72-0242c0a80002"
"Lydia","Peeters","Lydia Peeters",2014-05-25,2019-07-02,"VM van Begroting, Financiën en Energie",,"http://kanselarij.vo.data.gift/id/mandatarissen/819f4d78-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819ef756-dec2-11e9-aa72-0242c0a80002"
"Theo","Kelchtermans","Theo Kelchtermans",1988-10-18,1992-01-21,"GM van Leefmilieu, Natuurbehoud en Landinrichting",,"http://kanselarij.vo.data.gift/id/mandatarissen/820ee62e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbedc6-dec2-11e9-aa72-0242c0a80002"
