,Reg of man,Verkiezing,RegeerperiodeVan,RegeerperiodeTot,Referentie bevoegdheidsbesluit in Codex / URL uitslag,Referentie in K,,Naam regering,Naam,Toelichting,SamenstellingVan,SamenstellingTot,VoornaamMandaathouder,AchternaamMandaathouder,Partij,MP/Vice,rang,Titel,Redactioneel kader
,,,,,,,,,,,,,,,,,,,
488,periode,11/8/1981,1981,1985,,,,Geens,Geens I,,,,,,,,,,"Na de parlementsverkiezingen van 8 november 1981 kon de eerste Vlaamse Regering de eed afleggen.
Die regering (toen nog 'Vlaamse executieve' genaamd) werd uit en door de Vlaamse Raad benoemd, waarbij ze voor een periode van vier jaar proportioneel moest worden samengesteld. De proportionaliteit was door de wetgever opgelegd omdat op die manier alle grote politieke strekkingen bij de werking van de eerste gemeenschaps- en gewestregeringen werden betrokken, wat hun werking en de uitbouw van de politieke autonomie van de deelstaten ten goede zou komen.
De installatie van de Vlaamse Regering vond plaats op 22 december 1981. Gaston Geens werd tot voorzitter benoemd. De Vlaamse Regering telde negen leden: vier CVP-, twee SP-, twee PVV- en één VU-minister(s)."
478,regering,,1981,1985,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1007626&param=informatie,BVR 18/1/1982,nog niet digitaal,Geens I.1,Geens I,"Verkiezing Federaal Parlement op 8 november 1981.
Proportioneel samengestelde regering voor 4 jaar",12/22/1981,7/22/1982,,,,,,,
479,mandaat,,1981,1985,,,,Geens I.1,Geens I,,,,Gaston,Geens,CVP,Voorzitter van de Vlaamse Executieve,1,Gemeenschapsminister  van Economie en Werkgelegenheid,
480,mandaat,,1981,1985,,,,Geens I.1,Geens I,,,,Karel,Poma,PVV,Vice-Voorzitter van de Vlaamse Executieve,2,Gemeenschapsminister  van Cultuur,
481,mandaat,,1981,1985,,,,Geens I.1,Geens I,,,,Mark,Galle,SP,,3,Gemeenschapsminister  van Ondergeschikte Besturen en Gesubsidieerde Werken,
482,mandaat,,1981,1985,,,,Geens I.1,Geens I,,,,Rika,Steyaert,CVP,,4,Gemeenschapsminister  van Gezin en Welzijnszorg,
483,mandaat,,1981,1985,,,,Geens I.1,Geens I,,,,Hugo,Schiltz,VU,,5,Gemeenschapsminister  van Financiën,
484,mandaat,,1981,1985,,,,Geens I.1,Geens I,,,,Paul,Akkermans,CVP,,6,"Gemeenschapsminister  van Ruimtelijke Ordening, Landinrichting en Natuurbehoud",
485,mandaat,,1981,1985,,,,Geens I.1,Geens I,,,,Jacky,Buchmann,PVV,,7,Gemeenschapsminister  van Huisvesting,
486,mandaat,,1981,1985,,,,Geens I.1,Geens I,,,,Roger,De Wulf,SP,,8,Gemeenschapsminister  van Gezondheidsbeleid,
487,mandaat,,1981,1985,,,,Geens I.1,Geens I,,,,Jan,Lenssens,CVP,,9,"Gemeenschapsminister  van Leefmilieu, Waterbeleid en Onderwijs",
468,regering,,1981,1985,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1009121&param=informatie,BVR 14/07/1982,nog niet digitaal,Geens I.2,Geens I,Bevoegdheidsomschrijving gewijzigd,7/23/1982,12/10/1985,,,,,,,
469,mandaat,,1981,1985,,,,Geens I.2,Geens I,,,,Gaston,Geens,CVP,Voorzitter van de Vlaamse Executieve,1,Gemeenschapsminister  van Economie en Werkgelegenheid,
470,mandaat,,1981,1985,,,,Geens I.2,Geens I,,,,Karel,Poma,PVV,Vice-Voorzitter van de Vlaamse Executieve,2,Gemeenschapsminister  van Cultuur,
471,mandaat,,1981,1985,,,,Geens I.2,Geens I,,,,Mark,Galle,SP,,3,Gemeenschapsminister van Binnenlandse Aangelegenheden,
472,mandaat,,1981,1985,,,,Geens I.2,Geens I,,,,Rika,Steyaert,CVP,,4,Gemeenschapsminister  van Gezin en Welzijnszorg,
473,mandaat,,1981,1985,,,,Geens I.2,Geens I,,,,Hugo,Schiltz,VU,,5,Gemeenschapsminister  van Financiën,
474,mandaat,,1981,1985,,,,Geens I.2,Geens I,,,,Paul,Akkermans,CVP,,6,"Gemeenschapsminister  van Ruimtelijke Ordening, Landinrichting en Natuurbehoud",
475,mandaat,,1981,1985,,,,Geens I.2,Geens I,,,,Jacky,Buchmann,PVV,,7,Gemeenschapsminister  van Huisvesting,
476,mandaat,,1981,1985,,,,Geens I.2,Geens I,,,,Roger,De Wulf,SP,,8,Gemeenschapsminister  van Gezondheidsbeleid,
477,mandaat,,1981,1985,,,,Geens I.2,Geens I,,,,Jan,Lenssens,CVP,,9,"Gemeenschapsminister  van Leefmilieu, Waterbeleid en Onderwijs",
467,periode,10/13/1985,1985,1988,,,,Geens II,Geens II,,,,,,,,,,"Na de verkiezingen van 13 oktober 1985 werd op 10 december 1985 een nieuwe Vlaamse Regering samengesteld, voor het eerst volgens het meerderheidsprincipe. De CVP-PVV-coalitie bestond weer uit negen ministers en Gaston Geens werd opnieuw voorzitter."
457,regering,,1985,1988,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1005649&param=informatie,BVR 11/12/1985,nog niet digitaal,Geens II.1,Geens II,"Verkiezingen Federaal Parlement 13 oktober 1985
Meerderheidsregering",12/11/1985,10/19/1987,,,,,,,
458,mandaat,,1985,1988,,,,Geens II.1,Geens II,,,,Gaston,Geens,CVP,Voorzitter van de Vlaamse Executieve,1,Gemeenschapsminister  van Economie en Werkgelegenheid,
459,mandaat,,1985,1988,,,,Geens II.1,Geens II,,,,Louis,Waltniel,PVV,Vice-Voorzitter van de Vlaamse Executieve,2,Gemeenschapsminister  van Financiën en Begroting,
460,mandaat,,1985,1988,,,,Geens II.1,Geens II,,,,Rika,Steyaert,CVP,,3,Gemeenschapsminister  van Gezin en Welzijnszorg,
461,mandaat,,1985,1988,,,,Geens II.1,Geens II,,,,Paul,Akkermans,CVP,,4,Gemeenschapsminister  van Huisvesting,
462,mandaat,,1985,1988,,,,Geens II.1,Geens II,,,,Jan,Lenssens,CVP,,5,Gemeenschapsminister  van Volksgezondheid en Leefmilieu,
463,mandaat,,1985,1988,,,,Geens II.1,Geens II,,,,Jean,Pede,PVV,,6,Gemeenschapsminister  van Binnenlandse Aangelegenheden en Ruimtelijke Ordening,
464,mandaat,,1985,1988,,,,Geens II.1,Geens II,,,,Theo,Kelchtermans,CVP,,7,Gemeenschapsminister  van Onderwijs en Opleiding,
465,mandaat,,1985,1988,,,,Geens II.1,Geens II,,,,Paul,Deprez,CVP,,8,Gemeenschapsminister van Externe Betrekkingen,
466,mandaat,,1985,1988,,,,Geens II.1,Geens II,,,,Patrick,Dewael,PVV,,9,Gemeenschapsminister  van Cultuur,
447,regering,,1985,1988,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1005236&param=informatie,BVR 20/10/1987,nog niet digitaal,Geens II.2,Geens II,Paul Akkermans ontslagnemend vanaf 20.10.1987 en eedaflegging door Jos DUPRE op 20.10.1987  ,10/20/1987,2/2/1988,,,,,,,
448,mandaat,,1985,1988,,,,Geens II.2,Geens II,,,,Gaston,Geens,CVP,Voorzitter van de Vlaamse Executieve,1,Gemeenschapsminister  van Economie en Werkgelegenheid,
449,mandaat,,1985,1988,,,,Geens II.2,Geens II,,,,Louis,Waltniel,PVV,Vice-Voorzitter van de Vlaamse Executieve,2,Gemeenschapsminister  van Financiën en Begroting,
450,mandaat,,1985,1988,,,,Geens II.2,Geens II,,,,Rika,Steyaert,CVP,,3,Gemeenschapsminister  van Gezin en Welzijnszorg,
451,mandaat,,1985,1988,,,,Geens II.2,Geens II,,,,Jan,Lenssens,CVP,,4,Gemeenschapsminister  van Volksgezondheid en Leefmilieu,
452,mandaat,,1985,1988,,,,Geens II.2,Geens II,,,,Jean,Pede,PVV,,5,Gemeenschapsminister  van Binnenlandse Aangelegenheden en Ruimtelijke Ordening,
453,mandaat,,1985,1988,,,,Geens II.2,Geens II,,,,Theo,Kelchtermans,CVP,,6,Gemeenschapsminister  van Onderwijs en Opleiding,
454,mandaat,,1985,1988,,,,Geens II.2,Geens II,,,,Paul,Deprez,CVP,,7,Gemeenschapsminister  van Externe Betrekkingen,
